A|A|113|20200601|20200630|20200708|999|SISTEMA SAC         
C|C|595  |SAO BRAS DO SUACUI                      |MG|    |0000000|        01058041185010000000
C|C|596  |PACARAIMA                               |RR|    |0000000|        01058041185010000000
C|C|597  |AIUABA                                  |CE|    |0000000|        01058041185010000000
C|C|598  |JABOATAO DOS GUARARAPES                 |PE|    |0000000|        01058041185010000000
C|C|599  |RIO DAS OSTRAS                          |RJ|    |0000000|        01058041185010000000
C|C|600  |BARRA DE SAO FRANCISCO                  |ES|    |0000000|        01058041185010000000
C|C|601  |QUATRO PONTES                           |PR|    |0000000|        01058041185010000000
C|C|602  |SAO JOAO DO JAGUARIBE                   |CE|    |0000000|        01058041185010000000
C|C|603  |TUMIRITINGA                             |MG|    |0000000|        01058041185010000000
C|C|604  |ALEGRE                                  |ES|    |0000000|        01058041185010000000
C|C|605  |BOA VISTA                               |PB|    |0000000|        01058041185010000000
C|C|606  |SANTA INES                              |MA|    |0000000|        01058041185010000000
C|C|607  |JANAUBA                                 |MG|    |0000000|        01058041185010000000
C|C|608  |GOIANIA                                 |GO|    |0000000|        01058041185010000000
C|C|609  |APERIBE                                 |RJ|    |0000000|        01058041185010000000
C|C|610  |SAO CARLOS                              |SP|    |0000000|        01058041185010000000
C|C|611  |BURITIRAMA                              |BA|    |0000000|        01058041185010000000
C|C|612  |SAO JOSE DOS CAMPOS                     |SP|    |0000000|        01058041185010000000
C|C|613  |CRUZEIRO DO SUL                         |AC|    |0000000|        01058041185010000000
C|C|614  |JUCAS                                   |CE|    |0000000|        01058041185010000000
C|C|615  |LAGOA NOVA                              |RN|    |0000000|        01058041185010000000
C|C|616  |PORTO ALEGRE DO NORTE                   |MT|    |0000000|        01058041185010000000
C|C|617  |SANTIAGO                                |RS|    |0000000|        01058041185010000000
C|C|618  |SAO MARCOS                              |RS|    |0000000|        01058041185010000000
C|C|619  |PAROBE                                  |RS|    |0000000|        01058041185010000000
C|C|620  |SANTO ANDRE                             |SP|    |0000000|        01058041185010000000
C|C|621  |ITAMBE                                  |BA|    |0000000|        01058041185010000000
C|C|622  |SOLEDADE                                |PB|    |0000000|        01058041185010000000
C|C|623  |CAMPINAPOLIS                            |MT|    |0000000|        01058041185010000000
C|C|624  |NOVO HAMBURGO                           |RS|    |0000000|        01058041185010000000
C|C|625  |BRASILIA                                |DF|    |0000000|        01058041185010000000
C|C|626  |TAPERA                                  |RS|    |0000000|        01058041185010000000
C|C|627  |GUADALUPE                               |PI|    |0000000|        01058041185010000000
C|C|628  |TRES CORACOES                           |MG|    |0000000|        01058041185010000000
C|C|629  |SAO PEDRO DOS CRENTES                   |MA|    |0000000|        01058041185010000000
C|C|630  |SAO JOAO DE MERITI                      |RJ|    |0000000|        01058041185010000000
C|C|631  |ABAETE                                  |MG|    |0000000|        01058041185010000000
C|C|632  |BELO HORIZONTE                          |MG|    |0000000|        01058041185010000000
C|C|633  |IGUATAMA                                |MG|    |0000000|        01058041185010000000
C|C|634  |ALMEIRIM                                |PA|    |0000000|        01058041185010000000
C|C|635  |PETROPOLIS                              |RJ|    |0000000|        01058041185010000000
C|C|636  |DIVINOPOLIS                             |MG|    |0000000|        01058041185010000000
C|C|637  |UNIAO                                   |PI|    |0000000|        01058041185010000000
C|C|638  |ITAPEJARA D OESTE                       |PR|    |0000000|        01058041185010000000
C|C|639  |CAXAMBU                                 |MG|    |0000000|        01058041185010000000
C|C|640  |UNA                                     |BA|    |0000000|        01058041185010000000
C|C|641  |CRICIUMA                                |SC|    |0000000|        01058041185010000000
C|C|642  |ASCURRA                                 |SC|    |0000000|        01058041185010000000
C|C|643  |BARRAS                                  |PI|    |0000000|        01058041185010000000
C|C|644  |BARCARENA                               |PA|    |0000000|        01058041185010000000
C|C|645  |CACERES                                 |MT|    |0000000|        01058041185010000000
C|C|646  |IPEUNA                                  |SP|    |0000000|        01058041185010000000
C|C|647  |FLORESTOPOLIS                           |PR|    |0000000|        01058041185010000000
C|C|648  |ITAJUBA                                 |MG|    |0000000|        01058041185010000000
C|C|649  |MIRANORTE                               |TO|    |0000000|        01058041185010000000
C|C|650  |SETE BARRAS                             |SP|    |0000000|        01058041185010000000
C|C|651  |ESCADA                                  |PE|    |0000000|        01058041185010000000
C|C|652  |VILA BELA DA SANTISSIMA TRINDADE        |MT|    |0000000|        01058041185010000000
C|C|653  |MATA VERDE                              |MG|    |0000000|        01058041185010000000
C|C|654  |BREJO SANTO                             |CE|    |0000000|        01058041185010000000
C|C|655  |LAGOA GRANDE DO MARANHAO                |MA|    |0000000|        01058041185010000000
C|C|656  |TOBIAS BARRETO                          |SE|    |0000000|        01058041185010000000
C|C|657  |RIO BONITO DO IGUACU                    |PR|    |0000000|        01058041185010000000
C|C|658  |SAO JOAO DA PONTE                       |MG|    |0000000|        01058041185010000000
C|C|659  |IGARASSU                                |PE|    |0000000|        01058041185010000000
C|C|660  |AGUA DOCE DO MARANHAO                   |MA|    |0000000|        01058041185010000000
C|C|661  |GUAREI                                  |SP|    |0000000|        01058041185010000000
C|C|662  |ITABERABA                               |BA|    |0000000|        01058041185010000000
C|C|663  |AGUAS FORMOSAS                          |MG|    |0000000|        01058041185010000000
C|C|664  |NITEROI                                 |RJ|    |0000000|        01058041185010000000
C|C|665  |ITAIPE                                  |MG|    |0000000|        01058041185010000000
C|C|666  |CRUZ DAS ALMAS                          |BA|    |0000000|        01058041185010000000
C|C|667  |PORTO DA FOLHA                          |SE|    |0000000|        01058041185010000000
C|C|668  |PEDRAS DE MARIA DA CRUZ                 |MG|    |0000000|        01058041185010000000
C|C|669  |CAIAPONIA                               |GO|    |0000000|        01058041185010000000
C|C|670  |VARGEM GRANDE PAULISTA                  |SP|    |0000000|        01058041185010000000
C|C|671  |JARAGUA DO SUL                          |SC|    |0000000|        01058041185010000000
